Category;Segment;Scenario;Date;Value;;;
Urban;Extreme;Budget;01.04.2015;183168;;;
Urban;Extreme;Budget;01.03.2015;136;;;
Urban;Extreme;Budget;01.02.2015;408;;;
Urban;Extreme;Budget;01.01.2015;136;;;
Urban;Moderation;Forecast;01.12.2016;96;;;
Urban;Moderation;Forecast;01.11.2016;288;;;
Urban;Moderation;Forecast;01.10.2016;96;;;
Urban;Moderation;Forecast;01.09.2016;22536;;;
Urban;Moderation;Forecast;01.08.2016;14724;;;
Urban;Moderation;Forecast;01.07.2016;19872;;;
Urban;Moderation;Forecast;01.06.2016;9712;;;
Urban;Moderation;Forecast;01.05.2016;6448;;;
Urban;Moderation;Forecast;01.04.2016;7984;;;
Urban;Moderation;Forecast;01.03.2016;7512;;;
Urban;Moderation;Forecast;01.02.2016;4908;;;
Urban;Moderation;Forecast;01.01.2016;6624;;;
Urban;Moderation;Budget;01.12.2016;7140;;;
Urban;Moderation;Budget;01.11.2016;4758;;;
Urban;Moderation;Budget;01.10.2016;6366;;;
Urban;Moderation;Budget;01.09.2016;55264;;;
Urban;Moderation;Budget;01.08.2016;70212;;;
Urban;Moderation;Budget;01.07.2016;68732;;;
Urban;Moderation;Budget;01.06.2016;3136;;;
Urban;Moderation;Budget;01.05.2016;4936;;;
Urban;Moderation;Budget;01.04.2016;7032;;;
Urban;Moderation;Budget;01.03.2016;128836;;;
Urban;Moderation;Budget;01.02.2016;142984;;;
Urban;Moderation;Budget;01.01.2016;142632;;;
Urban;Moderation;Budget;01.12.2015;272;;;
Urban;Moderation;Budget;01.11.2015;416;;;
Urban;Moderation;Budget;01.10.2015;160;;;
Urban;Moderation;Budget;01.09.2015;8768;;;
Urban;Moderation;Budget;01.08.2015;12640;;;
Urban;Moderation;Budget;01.07.2015;11744;;;
Urban;Moderation;Budget;01.06.2015;53785.6;;;
Urban;Moderation;Budget;01.05.2015;56320;;;
Urban;Moderation;Budget;01.04.2015;39206.4;;;
Urban;Moderation;Budget;01.03.2015;96464;;;
Urban;Moderation;Budget;01.02.2015;82752;;;
Urban;Moderation;Budget;01.01.2015;90848;;;
Urban;Regular;Forecast;01.12.2016;408;;;
Urban;Regular;Forecast;01.11.2016;136;;;
Urban;Regular;Forecast;01.10.2016;400;;;
Urban;Regular;Forecast;01.09.2016;6448;;;
Urban;Regular;Forecast;01.08.2016;7984;;;
Urban;Regular;Forecast;01.07.2016;7304;;;
Urban;Regular;Forecast;01.06.2016;22536;;;
Urban;Regular;Forecast;01.05.2016;14724;;;
Urban;Regular;Forecast;01.04.2016;19872;;;
Urban;Regular;Forecast;01.03.2016;8298;;;
Urban;Regular;Forecast;01.02.2016;4086;;;
Urban;Regular;Forecast;01.01.2016;2430;;;
Urban;Regular;Budget;01.12.2016;1089;;;
Urban;Regular;Budget;01.11.2016;921;;;
Urban;Regular;Budget;01.10.2016;1593;;;
Urban;Regular;Budget;01.09.2016;1932;;;
Urban;Regular;Budget;01.08.2016;2895;;;
Urban;Regular;Budget;01.07.2016;3720;;;
Urban;Regular;Budget;01.06.2016;7140;;;
Urban;Regular;Budget;01.05.2016;4758;;;
Urban;Regular;Budget;01.04.2016;6366;;;
Urban;Regular;Budget;01.03.2016;2793;;;
Urban;Regular;Budget;01.02.2016;1317;;;
Urban;Regular;Budget;01.01.2016;771;;;
Urban;Regular;Budget;01.12.2015;3364;;;
Urban;Regular;Budget;01.11.2015;4362;;;
Urban;Regular;Budget;01.10.2015;5322;;;
Urban;Regular;Budget;01.09.2015;7824;;;
Urban;Regular;Budget;01.08.2015;12168;;;
Urban;Regular;Budget;01.07.2015;13804;;;
Urban;Regular;Budget;01.06.2015;14646.4;;;
Urban;Regular;Budget;01.05.2015;10521.6;;;
Urban;Regular;Budget;01.04.2015;16080;;;
Urban;Regular;Budget;01.03.2015;17796;;;
Urban;Regular;Budget;01.02.2015;7556;;;
Urban;Regular;Budget;01.01.2015;7556;;;
Mix;All Season;Forecast;01.12.2016;5862;;;
Mix;All Season;Forecast;01.11.2016;4776;;;
Mix;All Season;Forecast;01.10.2016;6540;;;
Mix;All Season;Forecast;01.09.2016;7908;;;
Mix;All Season;Forecast;01.08.2016;9582;;;
Mix;All Season;Forecast;01.07.2016;4914;;;
Mix;All Season;Forecast;01.06.2016;40272;;;
Mix;All Season;Forecast;01.05.2016;48504;;;
Mix;All Season;Forecast;01.04.2016;51528;;;
Mix;All Season;Forecast;01.03.2016;19734;;;
Mix;All Season;Forecast;01.02.2016;6882;;;
Mix;All Season;Forecast;01.01.2016;5538;;;
Mix;All Season;Budget;01.12.2016;6699;;;
Mix;All Season;Budget;01.11.2016;7149;;;
Mix;All Season;Budget;01.10.2016;8634;;;
Mix;All Season;Budget;01.09.2016;9291;;;
Mix;All Season;Budget;01.08.2016;14124;;;
Mix;All Season;Budget;01.07.2016;9522;;;
Mix;All Season;Budget;01.06.2016;28500;;;
Mix;All Season;Budget;01.05.2016;37446;;;
Mix;All Season;Budget;01.04.2016;29526;;;
Mix;All Season;Budget;01.03.2016;14310;;;
Mix;All Season;Budget;01.02.2016;9270;;;
Mix;All Season;Budget;01.01.2016;7842;;;
Mix;All Season;Budget;01.12.2015;288;;;
Mix;All Season;Budget;01.11.2015;162;;;
Mix;All Season;Budget;01.10.2015;558;;;
Mix;All Season;Budget;01.09.2015;288;;;
Mix;All Season;Budget;01.08.2015;288;;;
Mix;All Season;Budget;01.07.2015;288;;;
Mix;All Season;Budget;01.06.2015;230.4;;;
Mix;All Season;Budget;01.05.2015;691.2;;;
Mix;All Season;Budget;01.04.2015;230.4;;;
Mix;All Season;Budget;01.03.2015;864;;;
Mix;All Season;Budget;01.02.2015;288;;;
Mix;All Season;Budget;01.01.2015;576;;;
Mix;Productivity;Forecast;01.12.2016;1140;;;
Mix;Productivity;Forecast;01.11.2016;924;;;
Mix;Productivity;Forecast;01.10.2016;1650;;;
Mix;Productivity;Forecast;01.09.2016;2052;;;
Mix;Productivity;Forecast;01.08.2016;2928;;;
Mix;Productivity;Forecast;01.07.2016;3744;;;
Mix;Productivity;Forecast;01.06.2016;7512;;;
Mix;Productivity;Forecast;01.05.2016;4908;;;
Mix;Productivity;Forecast;01.04.2016;6624;;;
Mix;Productivity;Forecast;01.03.2016;2766;;;
Mix;Productivity;Forecast;01.02.2016;1362;;;
Mix;Productivity;Forecast;01.01.2016;810;;;
Mix;Productivity;Budget;01.12.2016;2931;;;
Mix;Productivity;Budget;01.11.2016;2388;;;
Mix;Productivity;Budget;01.10.2016;3270;;;
Mix;Productivity;Budget;01.09.2016;3954;;;
Mix;Productivity;Budget;01.08.2016;4791;;;
Mix;Productivity;Budget;01.07.2016;2457;;;
Mix;Productivity;Budget;01.06.2016;20136;;;
Mix;Productivity;Budget;01.05.2016;24252;;;
Mix;Productivity;Budget;01.04.2016;25764;;;
Mix;Productivity;Budget;01.03.2016;9867;;;
Mix;Productivity;Budget;01.02.2016;3441;;;
Mix;Productivity;Budget;01.01.2016;2769;;;
Mix;Productivity;Budget;01.12.2015;10812;;;
Mix;Productivity;Budget;01.11.2015;10254;;;
Mix;Productivity;Budget;01.10.2015;13182;;;
Mix;Productivity;Budget;01.09.2015;16614;;;
Mix;Productivity;Budget;01.08.2015;20976;;;
Mix;Productivity;Budget;01.07.2015;10152;;;
Mix;Productivity;Budget;01.06.2015;68323.2;;;
Mix;Productivity;Budget;01.05.2015;77078.4;;;
Mix;Productivity;Budget;01.04.2015;81600;;;
Mix;Productivity;Budget;01.03.2015;78156;;;
Mix;Productivity;Budget;01.02.2015;27240;;;
Mix;Productivity;Budget;01.01.2015;22992;;;
Accessory;Accessory;Forecast;01.12.2016;8838;;;
Accessory;Accessory;Forecast;01.11.2016;10120;;;
Accessory;Accessory;Forecast;01.10.2016;10948;;;
Accessory;Accessory;Forecast;01.09.2016;12888;;;
Accessory;Accessory;Forecast;01.08.2016;19658;;;
Accessory;Accessory;Forecast;01.07.2016;12310;;;
Accessory;Accessory;Forecast;01.06.2016;36520;;;
Accessory;Accessory;Forecast;01.05.2016;48232;;;
Accessory;Accessory;Forecast;01.04.2016;41376;;;
Accessory;Accessory;Forecast;01.03.2016;18712;;;
Accessory;Accessory;Forecast;01.02.2016;11758;;;
Accessory;Accessory;Forecast;01.01.2016;10354;;;
Accessory;Accessory;Budget;01.12.2016;6699;;;
Accessory;Accessory;Budget;01.11.2016;7149;;;
Accessory;Accessory;Budget;01.10.2016;8634;;;
Accessory;Accessory;Budget;01.09.2016;9291;;;
Accessory;Accessory;Budget;01.08.2016;14124;;;
Accessory;Accessory;Budget;01.07.2016;9522;;;
Accessory;Accessory;Budget;01.06.2016;28500;;;
Accessory;Accessory;Budget;01.05.2016;37446;;;
Accessory;Accessory;Budget;01.04.2016;29526;;;
Accessory;Accessory;Budget;01.03.2016;14310;;;
Accessory;Accessory;Budget;01.02.2016;9270;;;
Accessory;Accessory;Budget;01.01.2016;7842;;;
Accessory;Accessory;Budget;01.12.2015;28446;;;
Accessory;Accessory;Budget;01.11.2015;29178;;;
Accessory;Accessory;Budget;01.10.2015;34170;;;
Accessory;Accessory;Budget;01.09.2015;38292;;;
Accessory;Accessory;Budget;01.08.2015;57666;;;
Accessory;Accessory;Budget;01.07.2015;36540;;;
Accessory;Accessory;Budget;01.06.2015;92073.6;;;
Accessory;Accessory;Budget;01.05.2015;119731.2;;;
Accessory;Accessory;Budget;01.04.2015;91584;;;
Accessory;Accessory;Budget;01.03.2015;113376;;;
Accessory;Accessory;Budget;01.02.2015;68388;;;
Accessory;Accessory;Budget;01.01.2015;62724;;;
Rural;Select;Forecast;01.12.2016;62;;;
Rural;Select;Forecast;01.11.2016;34;;;
Rural;Select;Forecast;01.10.2016;132;;;
Rural;Select;Forecast;01.09.2016;62;;;
Rural;Select;Forecast;01.08.2016;62;;;
Rural;Select;Forecast;01.07.2016;66;;;
Rural;Select;Forecast;01.06.2016;68;;;
Rural;Select;Forecast;01.05.2016;204;;;
Rural;Select;Forecast;01.04.2016;68;;;
Rural;Select;Forecast;01.03.2016;100;;;
Rural;Select;Forecast;01.02.2016;32;;;
Rural;Select;Forecast;01.01.2016;68;;;
Rural;Select;Budget;01.12.2016;48;;;
Rural;Select;Budget;01.11.2016;27;;;
Rural;Select;Budget;01.10.2016;93;;;
Rural;Select;Budget;01.09.2016;48;;;
Rural;Select;Budget;01.08.2016;48;;;
Rural;Select;Budget;01.07.2016;48;;;
Rural;Select;Budget;01.06.2016;48;;;
Rural;Select;Budget;01.05.2016;144;;;
Rural;Select;Budget;01.04.2016;48;;;
Rural;Select;Budget;01.03.2016;72;;;
Rural;Select;Budget;01.02.2016;24;;;
Rural;Select;Budget;01.01.2016;48;;;
Rural;Select;Budget;01.12.2015;3420;;;
Rural;Select;Budget;01.11.2015;2772;;;
Rural;Select;Budget;01.10.2015;4950;;;
Rural;Select;Budget;01.09.2015;6156;;;
Rural;Select;Budget;01.08.2015;8784;;;
Rural;Select;Budget;01.07.2015;11232;;;
Rural;Select;Budget;01.06.2015;18028.8;;;
Rural;Select;Budget;01.05.2015;11779.2;;;
Rural;Select;Budget;01.04.2015;15897.6;;;
Rural;Select;Budget;01.03.2015;16596;;;3
Rural;Select;Budget;01.02.2015;8172;;;
Rural;Select;Budget;01.01.2015;4860;;;
Youth;Youth;Forecast;01.12.2016;786;;;
Youth;Youth;Forecast;01.11.2016;578;;;
Youth;Youth;Forecast;01.10.2016;1080;;;
Youth;Youth;Forecast;01.09.2016;1288;;;
Youth;Youth;Forecast;01.08.2016;2072;;;
Youth;Youth;Forecast;01.07.2016;2348;;;
Youth;Youth;Forecast;01.06.2016;4856;;;
Youth;Youth;Forecast;01.05.2016;3224;;;
Youth;Youth;Forecast;01.04.2016;3992;;;
Youth;Youth;Forecast;01.03.2016;1826;;;
Youth;Youth;Forecast;01.02.2016;934;;;
Youth;Youth;Forecast;01.01.2016;552;;;
Youth;Youth;Budget;01.12.2016;570;;;
Youth;Youth;Budget;01.11.2016;462;;;
Youth;Youth;Budget;01.10.2016;825;;;
Youth;Youth;Budget;01.09.2016;1026;;;
Youth;Youth;Budget;01.08.2016;1464;;;
Youth;Youth;Budget;01.07.2016;1872;;;
Youth;Youth;Budget;01.06.2016;3756;;;
Youth;Youth;Budget;01.05.2016;2454;;;
Youth;Youth;Budget;01.04.2016;3312;;;
Youth;Youth;Budget;01.03.2016;1383;;;
Youth;Youth;Budget;01.02.2016;681;;;
Youth;Youth;Budget;01.01.2016;405;;;
Youth;Youth;Budget;01.12.2015;2178;;;
Youth;Youth;Budget;01.11.2015;1842;;;
Youth;Youth;Budget;01.10.2015;3186;;;
Youth;Youth;Budget;01.09.2015;3864;;;
Youth;Youth;Budget;01.08.2015;5790;;;
Youth;Youth;Budget;01.07.2015;7440;;;
Youth;Youth;Budget;01.06.2015;11424;;;
Youth;Youth;Budget;01.05.2015;7612.8;;;
Youth;Youth;Budget;01.04.2015;10185.6;;;
Youth;Youth;Budget;01.03.2015;11172;;;
Youth;Youth;Budget;01.02.2015;5268;;;
Youth;Youth;Budget;01.01.2015;3084;;;
Urban;Convenience;Forecast;01.12.2015;25984;;;
Urban;Convenience;Forecast;01.11.2015;33896;;;
Urban;Convenience;Forecast;01.10.2015;43940;;;
Urban;Convenience;Forecast;01.09.2015;66692;;;
Urban;Convenience;Forecast;01.08.2015;69048;;;
Urban;Convenience;Forecast;01.07.2015;52444;;;
Urban;Convenience;Forecast;01.06.2015;110528;;;
Urban;Convenience;Forecast;01.05.2015;140424;;;
Urban;Convenience;Forecast;01.04.2015;137464;;;
Urban;Convenience;Forecast;01.03.2015;99592;;;
Urban;Convenience;Forecast;01.02.2015;88744;;;
Urban;Convenience;Forecast;01.01.2015;8352;;;
Urban;Extreme;Forecast;01.12.2015;9396;;;
Urban;Extreme;Forecast;01.11.2015;14160;;;
Urban;Extreme;Forecast;01.10.2015;2392;;;
Urban;Extreme;Forecast;01.09.2015;2136;;;
Urban;Extreme;Forecast;01.08.2015;2860;;;
Urban;Extreme;Forecast;01.07.2015;1068;;;
Urban;Extreme;Forecast;01.06.2015;3136;;;
Urban;Extreme;Forecast;01.05.2015;4936;;;
Urban;Extreme;Forecast;01.04.2015;7032;;;
Urban;Extreme;Forecast;01.03.2015;5904;;;
Urban;Extreme;Forecast;01.02.2015;7304;;;
Urban;Extreme;Forecast;01.01.2015;100464;;;
Urban;Moderation;Forecast;01.12.2015;66596;;;
Urban;Moderation;Forecast;01.11.2015;70480;;;
Urban;Moderation;Forecast;01.10.2015;105840;;;
Urban;Moderation;Forecast;01.09.2015;135028;;;
Urban;Moderation;Forecast;01.08.2015;128460;;;
Urban;Moderation;Forecast;01.07.2015;130356;;;
Urban;Moderation;Forecast;01.06.2015;257672;;;
Urban;Moderation;Forecast;01.05.2015;285968;;;
Urban;Moderation;Forecast;01.04.2015;285264;;;
Urban;Moderation;Forecast;01.03.2015;158496;;;
Urban;Moderation;Forecast;01.02.2015;137064;;;
Urban;Moderation;Forecast;01.01.2015;280;;;
Urban;Regular;Forecast;01.12.2015;88;;;
Urban;Regular;Forecast;01.11.2015;600;;;
Urban;Regular;Forecast;01.10.2015;140;;;
Urban;Regular;Forecast;01.09.2015;148;;;
Urban;Regular;Forecast;01.08.2015;276;;;
Urban;Regular;Forecast;01.07.2015;32;;;
Urban;Regular;Forecast;01.06.2015;272;;;
Urban;Regular;Forecast;01.05.2015;416;;;
Urban;Regular;Forecast;01.04.2015;160;;;
Urban;Regular;Forecast;01.03.2015;184;;;
Urban;Regular;Forecast;01.02.2015;168;;;
Urban;Regular;Forecast;01.01.2015;4576;;;
Mix;All Season;Forecast;01.12.2015;2824;;;
Mix;All Season;Forecast;01.11.2015;3624;;;
Mix;All Season;Forecast;01.10.2015;5348;;;
Mix;All Season;Forecast;01.09.2015;7488;;;
Mix;All Season;Forecast;01.08.2015;9112;;;
Mix;All Season;Forecast;01.07.2015;5860;;;
Mix;All Season;Forecast;01.06.2015;8768;;;
Mix;All Season;Forecast;01.05.2015;12640;;;
Mix;All Season;Forecast;01.04.2015;11744;;;
Mix;All Season;Forecast;01.03.2015;5288;;;
Mix;All Season;Forecast;01.02.2015;4560;;;
Mix;All Season;Forecast;01.01.2015;7816;;;
Mix;Productivity;Forecast;01.12.2015;7520;;;
Mix;Productivity;Forecast;01.11.2015;8968;;;
Mix;Productivity;Forecast;01.10.2015;7112;;;
Mix;Productivity;Forecast;01.09.2015;6992;;;
Mix;Productivity;Forecast;01.08.2015;7548;;;
Mix;Productivity;Forecast;01.07.2015;14696;;;
Mix;Productivity;Forecast;01.06.2015;33616;;;
Mix;Productivity;Forecast;01.05.2015;35200;;;
Mix;Productivity;Forecast;01.04.2015;24504;;;
Mix;Productivity;Forecast;01.03.2015;9176;;;
Mix;Productivity;Forecast;01.02.2015;7520;;;
Mix;Productivity;Forecast;01.01.2015;17680;;;
Accessory;Accessory;Forecast;01.12.2015;10120;;;
Accessory;Accessory;Forecast;01.11.2015;10948;;;
Accessory;Accessory;Forecast;01.10.2015;12888;;;
Accessory;Accessory;Forecast;01.09.2015;19660;;;
Accessory;Accessory;Forecast;01.08.2015;12312;;;
Accessory;Accessory;Forecast;01.07.2015;18260;;;
Accessory;Accessory;Forecast;01.06.2015;48232;;;
Accessory;Accessory;Forecast;01.05.2015;41376;;;
Accessory;Accessory;Forecast;01.04.2015;45424;;;
Accessory;Accessory;Forecast;01.03.2015;39520;;;
Accessory;Accessory;Forecast;01.02.2015;28632;;;
Accessory;Accessory;Forecast;01.01.2015;48400;;;
Rural;Select;Forecast;01.12.2015;68;;;
Rural;Select;Forecast;01.11.2015;264;;;
Rural;Select;Forecast;01.10.2015;124;;;
Rural;Select;Forecast;01.09.2015;124;;;
Rural;Select;Forecast;01.08.2015;132;;;
Rural;Select;Forecast;01.07.2015;68;;;
Rural;Select;Forecast;01.06.2015;408;;;
Rural;Select;Forecast;01.05.2015;136;;;
Rural;Select;Forecast;01.04.2015;400;;;
Rural;Select;Forecast;01.03.2015;128;;;
Rural;Select;Forecast;01.02.2015;272;;;
Rural;Select;Forecast;01.01.2015;3144;;;
Youth;Youth;Forecast;01.12.2015;1156;;;
Youth;Youth;Forecast;01.11.2015;2160;;;
Youth;Youth;Forecast;01.10.2015;2576;;;
Youth;Youth;Forecast;01.09.2015;4144;;;
Youth;Youth;Forecast;01.08.2015;4696;;;
Youth;Youth;Forecast;01.07.2015;4856;;;
Youth;Youth;Forecast;01.06.2015;6448;;;
Youth;Youth;Forecast;01.05.2015;7984;;;
Youth;Youth;Forecast;01.04.2015;7304;;;
Youth;Youth;Forecast;01.03.2015;3736;;;
Youth;Youth;Forecast;01.02.2015;2208;;;
Youth;Youth;Forecast;01.01.2015;280;;;
